player_name,position,game_info,stats,salary,fppg,points,row_number,week,day,source_file,scrape_date,game_time,salary_clean,points_clean,points_per_dollar,performance_category,std_devs_above_mean
Kyle Pitts Sr.,TE,"WAS 27 @ ATL 34, Final","5 TGT,5 REC,70 REC YD,REC TD",$12,9.1,15.5,23,Week 4,Sunday,week4_Sunday_all_games.csv,2025-09-29 14:05:53,1:00 PM (7 NFL Games),12,15.5,1.2916666666666667,Elite (2+ std),2.3363665704931535
Tyler Warren,TE,"IND 20 @ LA 27, Final","2 RUSH ATT,3 RUSH YD,RUSH TD,6 TGT,5 REC,70 REC YD",$17,10.6,15.8,9,Week 4,Sunday,week4_Sunday_all_games.csv,2025-09-29 14:06:07,4:05 PM (4 NFL Games),17,15.8,0.9294117647058824,High (1-2 std),1.3484897288431994
Tutu Atwell,WR,"IND 20 @ LA 27, Final","2 TGT,REC,88 REC YD,REC TD",$10,4.1,15.3,10,Week 4,Sunday,week4_Sunday_all_games.csv,2025-09-29 14:06:07,4:05 PM (4 NFL Games),10,15.3,1.53,Elite (2+ std),2.9172566263100794
Jake Tonges,TE,"JAC 26 @ SF 21, Final","5 TGT,3 REC,58 REC YD,REC TD",$10,7.6,13.3,16,Week 4,Sunday,week4_Sunday_all_games.csv,2025-09-29 14:06:07,4:05 PM (4 NFL Games),10,13.3,1.33,Elite (2+ std),2.440902387836897
JuJu Smith-Schuster,WR,"BAL 20 @ KC 37, Final","6 TGT,4 REC,36 REC YD,REC TD",$10,7.0,11.6,25,Week 4,Sunday,week4_Sunday_all_games.csv,2025-09-29 14:06:08,4:05 PM (4 NFL Games),10,11.6,1.16,High (1-2 std),1.9311371381843903
Dak Prescott,QB,"GB 40 @ DAL 40, Final OT","319 PASS YD,3 PASS TD,RUSH ATT,2 RUSH YD,RUSH TD",$33,19.0,30.96,1,Week 4,Sunday,week4_Sunday_all_games.csv,2025-09-29 14:06:22,8:20 PM (1 NFL Game),33,30.96,0.9381818181818182,High (1-2 std),1.2637796273636523
George Pickens,WR,"GB 40 @ DAL 40, Final OT","11 TGT,8 REC,134 REC YD,2 REC TD",$28,16.1,29.4,3,Week 4,Sunday,week4_Sunday_all_games.csv,2025-09-29 14:06:22,8:20 PM (1 NFL Game),28,29.4,1.05,High (1-2 std),1.637966479552429
Romeo Doubs,WR,"GB 40 @ DAL 40, Final OT","8 TGT,6 REC,58 REC YD,3 REC TD",$18,12.1,26.8,4,Week 4,Sunday,week4_Sunday_all_games.csv,2025-09-29 14:06:22,8:20 PM (1 NFL Game),18,26.8,1.488888888888889,Elite (2+ std),2.8076877942961147
Jake Ferguson,TE,"GB 40 @ DAL 40, Final OT","7 TGT,7 REC,40 REC YD,REC TD",$15,11.3,13.5,7,Week 4,Sunday,week4_Sunday_all_games.csv,2025-09-29 14:06:22,8:20 PM (1 NFL Game),15,13.5,0.9,High (1-2 std),1.2682832193722964
Emanuel Wilson,RB,"GB 40 @ DAL 40, Final OT","8 RUSH ATT,44 RUSH YD,3 TGT,3 REC,37 REC YD",$10,3.1,9.6,8,Week 4,Sunday,week4_Sunday_all_games.csv,2025-09-29 14:06:22,8:20 PM (1 NFL Game),10,9.6,0.96,High (1-2 std),1.237184422253204
Tommy Tremble,TE,"CAR 13 @ NE 42, Final","8 TGT,5 REC,42 REC YD,REC TD",$10,4.9,12.7,32,Week 4,Sunday,week4_Sunday.csv,2025-09-29 13:58:31,9:30 AM (1 NFL Game),10,12.7,1.27,Elite (2+ std),2.277281108516255
Kendre Miller,RB,"NO 19 @ BUF 31, Final","11 RUSH ATT,65 RUSH YD,RUSH TD",$10,5.3,12.5,33,Week 4,Sunday,week4_Sunday.csv,2025-09-29 13:58:31,9:30 AM (1 NFL Game),10,12.5,1.25,High (1-2 std),1.9554276978477072
Mitchell Evans,TE,"CAR 13 @ NE 42, Final","4 TGT,3 REC,23 REC YD,REC TD",$10,4.2,9.8,41,Week 4,Sunday,week4_Sunday.csv,2025-09-29 13:58:32,9:30 AM (1 NFL Game),10,9.8,0.9800000000000001,High (1-2 std),1.4864449251331529
Theo Johnson,TE,"LAC 18 @ NYG 21, Final","5 TGT,3 REC,17 REC YD,REC TD",$10,4.3,9.2,44,Week 4,Sunday,week4_Sunday.csv,2025-09-29 13:58:32,9:30 AM (1 NFL Game),10,9.2,0.9199999999999999,High (1-2 std),1.3228236458125102
Luke McCaffrey,WR,"WAS 27 @ ATL 34, Final","3 TGT,2 REC,21 REC YD,REC TD",$10,6.7,9.1,46,Week 4,Sunday,week4_Sunday.csv,2025-09-29 13:58:32,9:30 AM (1 NFL Game),10,9.1,0.9099999999999999,High (1-2 std),1.2648401867481138
Jayden Higgins,WR,"TEN 0 @ HOU 26, Final","TGT,REC,24 REC YD,REC TD",$10,4.4,8.9,47,Week 4,Sunday,week4_Sunday.csv,2025-09-29 13:58:32,9:30 AM (1 NFL Game),10,8.9,0.89,High (1-2 std),1.211536430633212
Antonio Gibson,RB,"CAR 13 @ NE 42, Final","6 RUSH ATT,27 RUSH YD,RUSH TD",$10,4.8,8.7,48,Week 4,Sunday,week4_Sunday.csv,2025-09-29 13:58:32,9:30 AM (1 NFL Game),10,8.7,0.8699999999999999,High (1-2 std),1.014281336723875
Kalif Raymond,WR,"CLE 10 @ DET 34, Final","3 TGT,2 REC,13 REC YD,PRTD",$10,3.7,8.3,51,Week 4,Sunday,week4_Sunday.csv,2025-09-29 13:58:32,9:30 AM (1 NFL Game),10,8.3,0.8300000000000001,High (1-2 std),1.0516251622885058
AJ Barner,TE,"SEA 23 @ ARI 20, Final","3 TGT,3 REC,32 REC YD,REC TD",$10,6.0,10.7,8,Week 4,Thursday,week4_Thurs.csv,2025-09-26 19:43:35,,10,10.7,1.0699999999999998,High (1-2 std),1.7318768441141146
Emari Demercado,RB,"SEA 23 @ ARI 20, Final","2 RUSH ATT,8 RUSH YD,2 TGT,2 REC,13 REC YD,REC TD",$10,3.0,9.1,9,Week 4,Thursday,week4_Thurs.csv,2025-09-26 19:43:35,,10,9.1,0.9099999999999999,High (1-2 std),1.11334937473691
Mac Jones,QB,"SF 26 @ LA 23, Final OT","342 PASS YD, 2 PASS TD, 4 RUSH ATT, 5 RUSH YD",$20,19.4,22.18,4,Week 5,Thursday,week5_Thurs.csv,2025-10-04 15:50:00,,20,22.18,1.109,High (1-2 std),1.8169528353118043
Kendrick Bourne,WR,"SF 26 @ LA 23, Final OT","11 TGT, 10 REC, 142 REC YD",$10,8.0,19.2,6,Week 5,Thursday,week5_Thurs.csv,2025-10-04 15:50:00,,10,19.2,1.92,Elite (2+ std),3.956679870550671
Jake Tonges,TE,"SF 26 @ LA 23, Final OT","11 TGT, 7 REC, 41 REC YD, REC TD",$10,8.8,13.6,7,Week 5,Thursday,week5_Thurs.csv,2025-10-04 15:50:00,,10,13.6,1.3599999999999999,Elite (2+ std),2.5227130274972174
Tutu Atwell,WR,"SF 26 @ LA 23, Final OT","4 TGT, 2 REC, 72 REC YD",$10,4.9,8.2,9,Week 5,Thursday,week5_Thurs.csv,2025-10-04 15:50:00,,10,8.2,0.82,High (1-2 std),1.0249732842310544
